"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"apple-health-kit-sample","apple-health-kit-sample","","","",0,*,"","","","null {[]} {[]}
","Apple HealthKit Sample Logical Model","Data elements for the Apple HealthKit HKSample.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"apple-health-kit-sample.uuid","apple-health-kit-sample.uuid","","","",1,1,"","","","string {[]} {[]}
","The universally unique identifier (UUID) for this HealthKit object.","The universally unique identifier (UUID) for this HealthKit object.","","","","","","","","","",,,,,"",,,,"apple-health-kit-object.uuid",1,1,"",""
"apple-health-kit-sample.metadata","apple-health-kit-sample.metadata","","","",0,*,"","","","BackboneElement {[]} {[]}
","The metadata for this HealthKit object.","The metadata for this HealthKit object.","","","","","","","","","",,,,,"",,,,"apple-health-kit-object.metadata",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"apple-health-kit-sample.metadata.id","apple-health-kit-sample.metadata.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"apple-health-kit-sample.metadata.extension","apple-health-kit-sample.metadata.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"apple-health-kit-sample.metadata.modifierExtension","apple-health-kit-sample.metadata.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"apple-health-kit-sample.metadata.key","apple-health-kit-sample.metadata.key","","","",1,1,"","","","string {[]} {[]}
","Constants used to add metadata to objects stored in HealthKit.","Constants used to add metadata to objects stored in HealthKit.","","","","","","","","","",,,,,"",,,,"apple-health-kit-object.metadata.key",1,1,"",""
"apple-health-kit-sample.metadata.value[x]","apple-health-kit-sample.metadata.value[x]","","","",1,1,"","","","string {[]} {[]}
dateTime {[]} {[]}integer {[]} {[]}decimal {[]} {[]}boolean {[]} {[]}positiveInt {[]} {[]}unsignedInt {[]} {[]}","The metadata dictionary value.","The metadata dictionary value.","","","","","","","","","",,,,,"",,,,"apple-health-kit-object.metadata.value[x]",1,1,"",""
"apple-health-kit-sample.device","apple-health-kit-sample.device","","","",0,1,"","","","BackboneElement {[]} {[]}
","The device that generated the data for this object.","The device that generated the data for this object.","","","","","","","","","",,,,,"",,,,"apple-health-kit-object.device",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"apple-health-kit-sample.device.id","apple-health-kit-sample.device.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"apple-health-kit-sample.device.extension","apple-health-kit-sample.device.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
